show_id,type,title,director,cast,country,date_added,release_year,rating,duration,duration_int,duration_type,description
ds351,movie,the nutcracker and the four realms,"lasse hallström, joe johnston","keira knightley, mackenzie foy, eugenio derbez, jayden fowora-knight, matthew macfadyen, richard grant",united states,2020-12-04,2018,pg,101 min,101,min,from disney comes the reimagined tale of the nutcracker.
ds352,movie,"alexander and the terrible, horrible, no good, very bad day",miguel arteta,"steve carell, jennifer garner, ed oxenbould, dylan minnette, kerris dorsey, jennifer coolidge",united states,2020-11-27,2014,pg,83 min,83,min,it's one calamity after another during the worst day of alexander's life.
ds353,movie,black beauty,ashley avis,"mackenzie foy, kate winslet, iain glen, calam lynch, claire forlani, fern deacon",united states,2020-11-27,2020,tv-pg,111 min,111,min,a wild horse and a teenage girl forge an unbreakable bond which keeps them connected for a lifetime.
ds354,movie,from our family to yours,angela affinita,,united kingdom,2020-11-27,2020,tv-g,3 min,3,min,"a granddaughter brings joy on christmas by mending a beloved mickey, evoking memories of the past."
ds355,tv show,once upon a time in wonderland,,"sophie lowe, michael socha, peter gadiot, emma rigby, naveen andrews, john lithgow","canada, united states",2020-11-27,2013,tv-pg,1 season,1,season,alice tells a tale of a strange new land.
ds356,tv show,party animals,,,,2020-11-27,2016,tv-g,1 season,1,season,this music video series captures the funny moments animals have in their day-to-day lives.
ds357,movie,folklore: the long pond studio sessions,,"taylor swift, aaron dessner, jack antonoff, justin vernon",united states,2020-11-25,2020,tv-14,107 min,107,min,an intimate musical concert featuring taylor swift performing every song from “folklore.”
ds358,tv show,bia,,"isabela souza, giulia guerrini, julio peña, guido messina, andrea de alba, agustina palma",argentina,2020-11-20,2019,tv-g,1 season,1,season,"bia is filled with passion, after the loss of her sister she will rediscover music and find love."
ds359,tv show,marvel's 616,,,united states,2020-11-20,2020,tv-14,1 season,1,season,an anthology documentary series exploring the impact of the marvel comics universe.
ds360,movie,planes,klay hall,"dane cook, stacy keach, brad garrett, teri hatcher, julia louis-dreyfus, priyanka chopra",united states,2020-11-20,2013,pg,94 min,94,min,a crop duster takes on the world’s fastest in the greatest air race ever.
ds361,movie,planes: fire & rescue,bobs gannaway,"dane cook, ed harris, julie bowen, curtis armstrong, john higgins, hal holbrook",united states,2020-11-20,2014,pg,85 min,85,min,air racer dusty teams up with a dynamic crew of flying firefighters.
ds362,movie,the real right stuff,,,united states,2020-11-20,2020,tv-pg,90 min,90,min,the real right stuff tells the story of the nation’s first astronauts.
ds363,tv show,the wonderful world of mickey mouse,,"chris diamantopoulos, kaitlyn robrock, bill farmer, tony anselmo, tress macneille",united states,2020-11-18,2020,tv-g,1 season,1,season,it's nothing but fun for mickey and friends as they embark on their greatest adventures yet.
ds364,movie,lego star wars holiday special,ken cunningham,"helen sadler, omar miller, jake green, kelly marie tran, trevor devall, matt sloan",united states,2020-11-17,2020,tv-y7-fv,48 min,48,min,"on the festive life day, rey and bb-8 embark on an epic adventure across star wars history."
ds365,movie,home alone,chris columbus,"macaulay culkin, joe pesci, daniel stern, john heard, roberts blossom, catherine o'hara",united states,2020-11-13,1990,pg,103 min,103,min,"when kevin is home while his family goes on a christmas trip, he must defend his home from burglars."
ds366,movie,home alone 2: lost in new york,chris columbus,"macaulay culkin, joe pesci, daniel stern, john heard, devin ratray, catherine o'hara",united states,2020-11-13,1992,pg,121 min,121,min,kevin is home alone in nyc but won't be for long since the wet bandits are also in the big apple.
ds367,movie,home alone 3,raja gosnell,"alex d. linz, haviland morris, olek krupa",united states,2020-11-13,1997,pg,103 min,103,min,"a gang of criminals come up against 8 year-old alex pruitt, who is home alone with the chicken pox."
ds368,tv show,inside pixar,,,united states,2020-11-13,2020,tv-pg,1 season,1,season,"an inside look at the people, artistry, and culture of pixar animation studios."
ds369,movie,petra: secrets of the ancient builders,"thierry fessard, yohann thiriet",bert morris,united arab emirates,2020-11-13,2019,tv-g,45 min,45,min,"discover the technical prowess behind petra, a wonder in the middle of the desert."
ds370,movie,ultimate viking sword,peter yost,jay sanders,,2020-11-13,2019,tv-pg,45 min,45,min,"national geographic reconstructs the ulfberht, a viking warrior’s ultimate weapon."
ds371,movie,disney's a christmas carol,robert zemeckis,"jim carrey, gary oldman, colin firth, bob hoskins, robin penn, cary elwes",united states,2020-11-06,2009,pg,97 min,97,min,three ghosts take ebenezer scrooge on an eye-opening journey.
ds372,tv show,fancy nancy (shorts),,"mia sinclair jenness, dana heath, spencer moss, alyson hannigan",,2020-11-06,2019,tv-y,1 season,1,season,follow nancy as she shows you how to be more fancy!
ds373,tv show,goldie & bear,,"georgie kidder, justine huxley, natalie lander, jim cummings, david kaufman, david lodge",united states,2020-11-06,2015,tv-y,2 seasons,2,seasons,goldie and bear go on adventures in fairytale forest.
ds374,movie,mr. magoo,stanley tong,"leslie nielsen, kelly lynch, ernie hudson, stephen tobolowsky, nick chinlund, matt keeslar",united states,2020-11-06,1997,pg,88 min,88,min,clueless mr. magoo sets out to get back a stolen precious gem.
ds375,movie,prep & landing,"kevin deters, stevie wermers-skelton","dave foley, sarah chalke, mason cotton, lino disalvo, derek richardson, william sheppard",united states,2020-11-06,2009,tv-g,23 min,23,min,an elite elf unit ensures homes around the world are prepared for santa.
ds376,movie,prep & landing: naughty vs. nice,"kevin deters, stevie wermers-skelton","dave foley, derek richardson, sarah chalke, rob riggle, chris parnell, w. sheppard",united states,2020-11-06,2011,tv-g,23 min,23,min,wayne and lanny race to save christmas!
ds377,movie,disney channel halloween house party,trevor moore,"tobie windham, raphael alejandro, suzi barrett, isaac ryan brown, kylie cantrall, scarlett estevez",united states,2020-10-30,2020,tv-g,23 min,23,min,"disney channel stars celebrate halloween in a sketch comedy special with tricks, treats, and more!"
ds378,tv show,the mandalorian,,"pedro pascal, carl weathers, gina carano, omid abtahi, nick nolte",united states,2020-10-30,2019,tv-14,2 seasons,2,seasons,"after the fall of the empire, a lone gunfighter makes his way through the lawless galaxy."
ds379,movie,the sorcerer's apprentice,jon turteltaub,"nicolas cage, jay baruchel, alfred molina, teresa palmer, monica bellucci, omar miller",united states,2020-10-30,2010,pg,111 min,111,min,a modern-day sorcerer must make his seemingly average recruit into the ultimate apprentice.
ds380,tv show,x-ray earth,,,united states,2020-10-30,2020,tv-pg,1 season,1,season,what if we could x-ray the earth to reveal the origins of natural disasters? now we can.
ds381,tv show,gathering storm,,tucker mcdougall,united states,2020-10-23,2020,tv-pg,1 season,1,season,"witness first hand stories combined with scientific insight, analysis and satellite mapping."
ds382,tv show,india from above,,dev patel,,2020-10-23,2019,tv-pg,1 season,1,season,"india from above, a two-part aerial documentary of a nation and its people."
ds383,tv show,marvel super hero adventures,,,united states,2020-10-23,2017,tv-y,4 seasons,4,seasons,spider-man sets off on adventures with marvel heroes!
ds384,movie,once upon a snowman,"dan abraham, trent correy","josh gad, idina menzel, kristen bell, jonathan groff, chris williams",united states,2020-10-23,2020,tv-pg,12 min,12,min,this new short film follows olaf’s first steps as he comes to life and searches for his identity.
ds385,movie,pompeii: secrets of the dead,ben finney,maite jauregui,united states,2020-10-23,2019,tv-pg,45 min,45,min,forensic experts scan pompeii’s victims to investigate why they didn’t escape the eruption.
ds386,movie,toy story of terror!,angus maclane,"tom hanks, tim allen, joan cusack, carl weathers, stephen tobolowsky, timothy dalton",united states,2020-10-23,2013,tv-g,22 min,22,min,join the toy story gang in a frighteningly fun animated adventure.
ds387,movie,beverly hills chihuahua,raja gosnell,"piper perabo, manolo cardona, jamie curtis, jose yazpik, maury sterling, jesus ochoa","united states, mexico",2020-10-16,2008,pg,95 min,95,min,"papi has to rescue his true love, chloe, when she gets lost in mexico."
ds388,movie,clouds,justin baldoni,"fin argus, sabrina carpenter, madison iseman, neve campbell, tom scott, lil rel howery",united states,2020-10-16,2020,pg-13,122 min,122,min,a young musician with months to live turns to music to make the most of the time he has left.
ds389,movie,lost on everest,renan ozturk,tate donovan,united states,2020-10-16,2020,tv-14,60 min,60,min,the quest to reveal what happened to the explorers who first set out to summit mt. everest.
ds390,movie,marvel's iron man & captain america: heroes united,leo riley,"adrian pasdar, roger smith, fred tatasciore, david kaye, liam o'brien, clancy brown",united states,2020-10-16,2014,pg,72 min,72,min,iron man and captain america battle the red skull and taskmaster.
ds391,tv show,meet the chimps,,jane lynch,united states,2020-10-16,2020,tv-pg,1 season,1,season,"meet the chimps takes viewers inside the secret life of chimp haven, a unique wildlife sanctuary."
ds392,tv show,the rocketeer,,"kitana turnbull, billy campbell, kathy najimy, callan farris, frank welker",united states,2020-10-16,2019,tv-y,1 season,1,season,kit becomes a rocket-pack wearing superhero!
ds393,movie,oil spill of the century,,loïck peyron,,2020-10-09,2019,tv-pg,45 min,45,min,loïck peyron investigates the 1978 amoco cadiz oil spill and its impact.
ds394,movie,the chronicles of narnia: the voyage of the dawn treader,michael apted,"georgie henley, skandar keynes, ben barnes, will poulter, tilda swinton","united states, united kingdom",2020-10-09,2010,pg,113 min,113,min,three heroes sail with king caspian to help narnian lords banished by an evil usurper of the throne.
ds395,tv show,the right stuff,,"jake mcdorman, patrick adams, colin o’donoghue, eloise mumford, james lafferty, nora zehetner",united states,2020-10-09,2020,tv-14,1 season,1,season,the incredible story of the mercury seven astronauts and their extraordinary achievements.
ds396,movie,wild portugal,christian baumeister,bart thomasson,,2020-10-09,2020,tv-14,45 min,45,min,explore a rugged world where diverse species fight for survival.
ds397,movie,x2,bryan singer,"patrick stewart, hugh jackman, ian mckellen, halle berry, famke janssen, james marsden","canada, united states",2020-10-09,2003,pg-13,134 min,134,min,"x-men newcomer, night crawler, joins magneto to rescue their brethren and forestall a holocaust."
ds398,movie,mr. holland's opus,stephen herek,"richard dreyfuss, glenne headly, jay thomas, w.h. macy, alicia witt, jean kelly",united states,2020-10-02,1996,pg,143 min,143,min,a musician finds his passion when he takes a “day job” as a music teacher.
ds399,movie,disneynature oceans,"jacques perrin, jacques cluzaud","pierce brosnan, lancelot perrin","france, switzerland, spain, united states, united arab emirates",2020-09-25,2010,g,84 min,84,min,journey into the depths of a wonderland filled with beauty and power.
ds400,movie,hidden figures,theodore melfi,"taraji henson, octavia spencer, janelle monáe, kevin costner, kirsten dunst, jim parsons",united states,2020-09-25,2016,pg,128 min,128,min,a story about three women at nasa who helped launch john glenn into orbit.
ds401,tv show,magic of disney's animal kingdom,,josh gad,united kingdom,2020-09-25,2020,tv-pg,1 season,1,season,magic of disney’s animal kingdom goes backstage at walt disney world resort. narrated by josh gad.
ds402,movie,secret society of second-born royals,,"peyton lee, niles fitch, isabella blake-thomas, olivia deeble, skylar astin, elodie yung",united states,2020-09-25,2020,tv-pg,99 min,99,min,"sam, a rebellious royal, learns she is part of the secret society of second-born royals."
ds403,movie,the giant robber crab,moritz katz,colin solman,united states,2020-09-25,2019,tv-pg,44 min,44,min,"as we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies."
ds404,tv show,wild central america,,nigel marven,,2020-09-25,2020,tv-pg,1 season,1,season,presenter nigel marven discovers the colourful and varied wildlife and culture of central america.
ds405,tv show,ancient china from above,,dr. allan maca,united states,2020-09-18,2020,tv-14,1 season,1,season,archaeologist allan maca reveals the amazing wonders of ancient china like never before.
ds406,tv show,becoming,,,united states,2020-09-18,2020,tv-pg,1 season,1,season,"becoming chronicles the origin stories of world-class entertainers, musicians and athletes."
ds407,tv show,coop & cami ask the world,,"ruby turner, dakota lotus, olivia sanabia, albert tsai, paxton booth, rebecca metz",united states,2020-09-18,2018,tv-g,2 seasons,2,seasons,"cooper and cami wrather co-host ""would you wrather."""
ds408,tv show,europe from above,,julian barratt,united kingdom,2020-09-18,2019,tv-g,1 season,1,season,europe from above takes to the air over europe’s finest cultural and geographical landmarks.
ds409,movie,ever after: a cinderella story,andy tennant,"drew barrymore, anjelica huston, dougray scott, patrick godfrey, megan dodds, melanie lynskey",united states,2020-09-18,1998,pg-13,122 min,122,min,a young woman falls in love with a prince while pretending to be a princess.
ds410,tv show,kingdom of the mummies,,kerry shale,united states,2020-09-18,2020,tv-14,1 season,1,season,a team of archaeologists uncover the first egyptian funeral parlor ever found.
ds411,movie,morning light,mark monroe,patrick warburton,united states,2020-09-18,2008,pg,99 min,99,min,"fifteen rookie sailors race to be part of the ""morning light"" crew."
ds412,movie,notre dame: race against the inferno,"fabrice gardel, simon kessler, josselin mahot",paul bandey,"united kingdom, france",2020-09-18,2019,tv-pg,45 min,45,min,"on april 15, 2019, paris’ firefighters gave everything to save the notre dame cathedral."
ds413,tv show,once upon a time,,"ginnifer goodwin, jennifer morrison, robert carlyle, lana parrilla, jared gilmore, josh dallas",united states,2020-09-18,2011,tv-pg,7 seasons,7,seasons,fairy tale characters inhabit a land of good and evil.
ds414,tv show,soy luna,,"karol sevilla, ruggero pasquarelli, valentina zenere, lucila gandolfo, michael ronda, carolina kopelioff","argentina, mexico",2020-09-18,2015,tv-g,3 seasons,3,seasons,luna will learn that love transcends distance.
ds415,tv show,violetta,,"diego ramos, martina stoessel, pablo espinosa, jorge blanco, mercedes lambre, nicolás garnier",argentina,2020-09-18,2011,tv-g,3 seasons,3,seasons,violetta is a talented teen following her dream.
ds416,movie,christopher robin,marc forster,"ewan mcgregor, hayley atwell, bronte carmichael, mark gatiss, oliver davies, ronke adekoluejo","united kingdom, united states",2020-09-11,2018,pg,109 min,109,min,pooh leaves the hundred acre wood to help grown-up christopher robin.
ds417,movie,d2: the mighty ducks,sam weisman,"emilio estevez, michael tucker, jan rubeš, kathryn erbe, joshua jackson, elden ratliff",united states,2020-09-04,1994,pg,107 min,107,min,the mighty ducks face the meanest team on ice at the junior goodwill games.
ds418,movie,d3: the mighty ducks,robert lieberman,"emilio estevez, jeffrey nordling, david selby, heidi kling, joshua jackson, elden ratliff",united states,2020-09-04,1996,pg,104 min,104,min,the mighty ducks inherit a new coach and a new set of problems.
ds419,tv show,earth to ned,,,united states,2020-09-04,2020,tv-pg,1 season,1,season,"from the jim henson company, alien commander ned hosts a late-night talk show with celebrity guests."
ds420,movie,trick or treat,jack hannah,,united states,2020-09-04,1952,tv-g,9 min,9,min,"donald plays a trick on his nephews, but a witch helps them out. see details for advisory."
ds421,movie,alice through the looking glass,james bobin,"johnny depp, anne hathaway, mia wasikowska, matt lucas, rhys ifans, helena carter","united states, united kingdom",2020-08-28,2016,pg,115 min,115,min,alice returns to underland to save the mad hatter in a race against time.
ds422,movie,phineas and ferb the movie: candace against the universe,,"ashley tisdale, vincent martella, ali wong, dan povenmire, alyson stoner, maulik pancholy",united states,2020-08-28,2020,tv-g,86 min,86,min,"phineas and ferb set out across the galaxy to rescue candace, who has been abducted by aliens."
ds423,movie,back to the titanic,,,united kingdom,2020-08-21,2020,tv-pg,44 min,44,min,back to the titanic documents the first manned dives to titanic in nearly 15 years.
ds424,movie,beauty and the beast,bill condon,"emma watson, dan stevens, luke evans, kevin kline, josh gad, ewan mcgregor",united states,2020-08-21,2017,pg,138 min,138,min,belle must look beyond the beast’s exterior to find the true prince within.
ds425,movie,mars: one day on the red planet,martin johnson,nigel barber,united states,2020-08-21,2020,tv-pg,88 min,88,min,"an epic journey around the real mars – built from data, as you’ve never seen it before."
ds426,movie,the one and only ivan,thea sharrock,"sam rockwell, angelina jolie, danny devito, helen mirren, brooklynn prince, ramón rodríguez",united states,2020-08-21,2020,pg,95 min,95,min,an adaptation of the award-winning book about a very special gorilla.
ds427,tv show,"weirdest, bestest, truest",,"charlie engelman, kirby engelman",,2020-08-21,2018,tv-g,1 season,1,season,siblings kirby and charlie share strange discoveries and fun facts from the world of weird but true!
ds428,tv show,disney junior t.o.t.s.: calling all t.o.t.s. (shorts),,"jet jurgensmeyer, christian simon, megan hilty",,2020-08-14,2020,tv-y,1 season,1,season,what happens after the baby animals are delivered?
ds429,movie,disney zombies 2,paul hoen,"milo manheim, meg donnelly, trevor tordjman, kylee russell, carla jeffery, chandler kinney",united states,2020-08-14,2020,tv-g,84 min,84,min,zed and addison encounter a group of werewolves!
ds430,movie,india's wild leopards,,"sandesh kadur, priya singh",india,2020-08-14,2020,tv-14,45 min,45,min,cameraman sandesh kadur’s mission is to uncover the secretive lives of india’s leopards.
ds431,tv show,jungle animal rescue,,dan nachtrab,united states,2020-08-14,2019,tv-pg,1 season,1,season,a team of conservationists and veterinarians helps india’s people and wildlife coexist.
ds432,movie,magic camp,mark waters,"adam devine, gillian jacobs, nathaniel mcintyre, jeffrey tambor, cole sand, isabella crovetti",united states,2020-08-14,2020,pg,101 min,101,min,a group of misfit campers help a down-on-his-luck magician rediscover his love of magic.
ds433,movie,marvel studios' ant-man and the wasp,peyton reed,"paul rudd, evangeline lilly, michael peña, walton goggins, hannah john-kamen, david dastmalchian",united states,2020-08-14,2018,pg-13,120 min,120,min,ant-man and the wasp must join forces to uncover secrets from the past.
ds434,tv show,nature boom time,,"charlie engelman, kirby engelman, patrick rahill",united states,2020-08-14,2016,tv-g,1 season,1,season,"charlie, kirby, and patrick travel around the u.s. to learn about what makes nature awesome."
ds435,tv show,sam's zookeeper challenge,,sam peltz,united states,2020-08-14,2018,tv-g,1 season,1,season,sam is put to the test to care for animals in “zookeeper’s challenge.”
ds436,tv show,scuba sam's world,,sam peltz,united states,2020-08-14,2018,tv-g,1 season,1,season,take a deep dive and learn all about the beloved sea animals in our oceans!
ds437,tv show,spaced out,,ben detour,,2020-08-14,2018,tv-g,1 season,1,season,learn about our universe through imagery taken from the hubble space telescope.
ds438,movie,the greatest showman,michael gracey,"hugh jackman, zac efron, michelle williams, rebecca ferguson, zendaya , keala settle",united states,2020-08-14,2017,pg,106 min,106,min,a bold and original musical celebrating the birth of show business and dreams coming to life.
ds439,tv show,weird but true!,,"charlie engelman, kirby engelman",united states,2020-08-14,2017,tv-g,3 seasons,3,seasons,"come along as we reveal fun, strange & surprising facts about our world in weird but true!"
ds440,tv show,wild cats of india,,james murray,united states,2020-08-14,2020,tv-pg,1 season,1,season,journey across the country’s landscapes to paint an intimate portrait of india's wild cats.
ds441,movie,howard,don hahn,howard ashman,united states,2020-08-07,2020,tv-pg,95 min,95,min,"“howard” is the untold story of howard ashman, the brilliant lyricist behind disney classics."
ds442,movie,prince of persia: the sands of time,mike newell,"jake gyllenhaal, ben kingsley, gemma arterton, alfred molina, richard coyle, toby kebbell",united states,2020-08-07,2010,pg-13,117 min,117,min,a rogue prince and rival princess safeguard a magical dagger with the power to reverse time.
ds443,movie,star wars: galaxy's edge-adventure awaits,,"neil harris, kaley cuoco, oscar isaac, sarah hyland, keegan-michael key, jay leno",united states,2020-08-07,2019,tv-pg,81 min,81,min,celebrating disney’s new land that brings star wars to life!
ds444,movie,the hidden kingdoms of china,"ben wallis, emma fraser, jess tombs",michelle yeoh,united states,2020-08-07,2020,tv-pg,88 min,88,min,the hidden kingdoms of china takes audiences into the secret wilds of china.
ds445,movie,the peanuts movie,steve martino,"noah schnapp, alex garfin, hadley miller, mariel sheets, venus schultheis, noah johnston",united states,2020-08-07,2015,g,89 min,89,min,"snoopy takes to the skies against the red baron, while his pal, charlie brown, begins an epic quest."
ds446,tv show,ufo europe: the untold stories,,robert ashby,,2020-08-07,2012,tv-pg,1 season,1,season,a selection of stories featuring encounters and sightings of the unexplained.
ds447,tv show,animal showdown,,brian peck,,2020-07-31,2018,tv-g,1 season,1,season,animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.
ds448,tv show,best job ever,,,,2020-07-31,2018,tv-g,1 season,1,season,check out the cool jobs nat geo explorers do every day!
ds449,movie,big cat games,jeremy turner,boone smith,,2020-07-31,2015,tv-pg,44 min,44,min,"boone smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title."
ds450,movie,black is king,beyoncé knowles-carter,beyoncé knowles-carter,united states,2020-07-31,2020,tv-14,86 min,86,min,"this visual album from beyoncé reimagines lessons of ""the lion king"" for young kings and queens."
ds451,movie,cradle of the gods,tim conrad,tim conrad,united kingdom,2020-07-31,2012,tv-pg,45 min,45,min,"located on a hilltop sanctuary, g – bekli tepe in turkey is the world's first known temple."
ds452,tv show,destination world,,rick robles,,2020-07-31,2018,tv-g,1 season,1,season,check out the continents and find out what makes them unique from each other!
ds453,tv show,fearless adventures with jack randall,,jack randall,,2020-07-31,2018,tv-pg,1 season,1,season,check out jack randall go head-to-head with all kinds of critters.
ds454,movie,hunt for the abominable snowman,dan oliver,stephen rashbrook,,2020-07-31,2011,tv-pg,45 min,45,min,"across the himalayas are stories of the yeti, or abominable snowman."
ds455,movie,incredibles 2,brad bird,"craig nelson, holly hunter, sarah vowell, huckleberry milner, catherine keener, eli fucile",united states,2020-07-31,2018,pg,118 min,118,min,the incredibles spring into action when a dangerous new villain emerges.
ds456,tv show,king fishers,,stephen mangan,united kingdom,2020-07-31,2013,tv-pg,1 season,1,season,"with so many fishermen and so many fishing disciplines, who is best?"
ds457,movie,lost temple of the inca,jim aikman,dan nachtrab,united states,2020-07-31,2020,tv-pg,44 min,44,min,a scientist discovers artifacts in peru that could lead him to one of the country’s missing temples.
ds458,tv show,marvel funko shorts,,,,2020-07-31,2016,tv-y7,2 seasons,2,seasons,marvel and funko present pop! style marvel heroes.
ds459,tv show,muppets now,,"dave goelz, matt vogel, david rudman, peter linz, bill barretta, eric jacobson",united states,2020-07-31,2020,tv-pg,1 season,1,season,the muppets have a brand-new series ready to stream… but only if they can upload it in time.
ds460,movie,surviving the mount st. helens disaster,sophie harris,bill ratner,united kingdom,2020-07-31,2020,tv-pg,44 min,44,min,eyewitness accounts and rare images chart the violent 1980 eruption of mount st. helens.
ds461,tv show,what sam sees,,sam peltz,,2020-07-31,2018,tv-g,1 season,1,season,"join sam on an underwater journey and learn about sharks, eels, and more!"
ds462,movie,pirates of the caribbean: dead men tell no tales,"joachim rønning, espen sandberg","johnny depp, javier bardem, brenton thwaites, kaya scodelario, kevin mcnally, golshifteh farahani",united states,2020-07-24,2017,pg-13,129 min,129,min,captain jack sparrow searches for the trident of poseidon.
ds463,tv show,pj masks (shorts),,,,2020-07-24,2017,tv-y,1 season,1,season,the pj masks are protecting the city from villains!
ds464,tv show,rogue trip,,"bob woodruff, mack woodruff",,2020-07-24,2020,tv-pg,1 season,1,season,bob woodruff and his son travel the world searching for beauty and adventure in unexpected places.
ds465,tv show,wild congo,,corey johnson,,2020-07-24,2014,tv-pg,1 season,1,season,the congo: the most mysterious river in the dark heart of africa.
ds466,tv show,wild sri lanka,,paul mcgann,united kingdom,2020-07-24,2016,tv-pg,1 season,1,season,this three-part series reveals the spectacular nature and amazing wildlife of sri lanka.
ds467,movie,a pre-opening report from disneyland,wilfred jackson,"walt disney, winston hibler",united states,2020-07-17,1955,tv-pg,55 min,55,min,walt provides a look at the details needed to get the park ready to open. see details for advisory.
ds468,movie,diary of a wimpy kid: the long haul,david bowers,"jason drucker, alicia silverstone, tom scott, charlie wright, owen asztalos, dylan walters",united states,2020-07-17,2017,pg,92 min,92,min,a trip to meemaw’s 90th birthday takes a detour due to greg’s scheme to attend a gaming convention!
ds469,tv show,disney junior music lullabies,,,,2020-07-17,2018,tv-y,1 season,1,season,disney junior songs reimagined as calming lullabies.
ds470,movie,lost city of machu picchu,,craig sechler,united states,2020-07-17,2019,tv-14,44 min,44,min,who were the mysterious people who built machu picchu and why?
ds471,tv show,super robot monkey team hyperforce go!,,"greg cipes, kevin michael	richardson, tom kenny, kari wahlgren, clancy brown, corey feldman","united states, japan",2020-07-17,2004,tv-y7,2 seasons,2,seasons,chiro and a team of five robot monkeys defend shuggazoom city against skeleton king and his minions.
ds472,movie,the mouseketeers at walt disney world,john tracy,"jo worley, ronnie schell, dennis underwood, leslie norris, billy attmore, scott craig",united states,2020-07-17,1977,tv-pg,56 min,56,min,the mouseketeers arrive to perform at walt disney world. see details for advisory.
ds473,tv show,wild chile,,peter venn,united kingdom,2020-07-17,2017,tv-pg,1 season,1,season,this beautiful and intriguing blue-chip series explores the incredibly varied wildlife of chile.
ds474,movie,x-men: apocalypse,bryan singer,"james mcavoy, michael fassbender, jennifer lawrence, oscar isaac, nicholas hoult, rose byrne",united states,2020-07-17,2016,pg-13,144 min,144,min,"apocalypse, the most powerful mutant in the universe, tries to destroy all of mankind."
ds475,tv show,cosmos: a spacetime odyssey,,"neil tyson, stoney emshwiller",united states,2020-07-10,2013,tv-pg,1 season,1,season,a 13-part adventure across the universe of space and time.
ds476,movie,hamilton: history has its eyes on you,,"lin-manuel miranda, thomas kail, christopher jackson, leslie odom jr., phillipa soo, renee goldsberry",united states,2020-07-10,2020,tv-pg,47 min,47,min,"robin roberts hosts a discussion with lin-manuel miranda, thomas kail, and original cast members."
ds477,movie,solo: a star wars story,ron howard,"alden ehrenreich, woody harrelson, emilia clarke, donald glover, thandie newton, phoebe waller-bridge",united states,2020-07-10,2018,pg-13,135 min,135,min,witness the beginning of the star wars saga's most unlikely hero.
ds478,movie,x-men: days of future past,bryan singer,"hugh jackman, james mcavoy, michael fassbender, jennifer lawrence, halle berry, nicholas hoult","united states, united kingdom, canada",2020-07-10,2014,pg-13,132 min,132,min,characters from the x-men trilogy join their younger selves to change the past and save our future.
ds479,movie,the undefeated presents: hamilton in-depth,,"lin-manuel miranda, thomas kail, renee goldsberry, leslie odom jr., daveed diggs, phillipa soo",united states,2020-07-05,2020,tv-pg,33 min,33,min,the undefeated presents: hamilton in-depth is a roundtable discussion with 9 stars and the director.
ds480,tv show,animal er,,dr. brian beale,united states,2020-07-03,2016,tv-pg,2 seasons,2,seasons,animal er brings you up close to the bleeding edge of animal care.
ds481,movie,diary of a wimpy kid: rodrick rules,david bowers,"zachary gordon, devon bostick, rachael harris, robert capron, steve zahn",united states,2020-07-03,2011,pg,100 min,100,min,"in 7th grade, greg must bond with his brother, rodrick while also impressing the new girl in town."
ds482,movie,hamilton,thomas kail,"daveed diggs, renée goldsberry, jonathan groff, christopher jackson, jasmine jones, lin-manuel miranda",united states,2020-07-03,2020,pg-13,160 min,160,min,the filmed version of broadway original “hamilton” that soars in music and tale.
ds483,movie,ice age: collision course,mike thurmeier,"ray romano, john leguizamo, denis leary, adam devine, jesse ferguson, max greenfield","united states, united kingdom, australia",2020-07-03,2016,pg,97 min,97,min,"when their world is threatened, manny and friends go on a quest to survive the scrat-tastrophe!"
ds484,movie,race to witch mountain,andy fickman,"dwayne johnson, annasophia robb, carla gugino, ciarán hinds, alexander ludwig, tom scott",united states,2020-07-03,2009,pg,100 min,100,min,a las vegas cab driver helps two aliens disguised as teens get home to save their planet... and ours.
ds485,movie,the big green,holly sloan,"steve guttenberg, olivia d'abo, jay sanders, john terry, chauncey leopardi, patrick renna",united states,2020-07-03,1995,pg,100 min,100,min,a group of bored misfits become local soccer heroes in a sleepy texas town.
ds486,movie,the mighty ducks,stephen herek,"emilio estevez, joss ackland, lane smith, heidi kling, josef sommer, joshua jackson",united states,2020-07-03,1992,pg,104 min,104,min,a hotshot lawyer reluctantly coaches a hapless pee wee hockey team.
ds487,movie,while you were sleeping,jon turteltaub,"sandra bullock, bill pullman, peter gallagher, peter boyle, glynis johns, micole mercurio",united states,2020-07-03,1995,pg,104 min,104,min,a lonely subway worker is mistaken for a comatose man's finacée.
ds488,tv show,disney a.n.t. farm,,"china mcclain, sierra mccormick, jake short, stefanie scott, carlon jeffery",united states,2020-06-26,2011,tv-g,3 seasons,3,seasons,chyna sparks and her friends are the newest members of the a.n.t. program.
ds489,tv show,into the unknown: making frozen 2,,"kristen bell, idina menzel, josh gad, jonathan groff, jennifer lee, chris buck",united states,2020-06-26,2020,tv-pg,1 season,1,season,"for the first time, go behind-the-scenes into the making of the #1 animated film, frozen 2."
ds490,movie,man in space,ward kimball,"walt disney, dick tufeld, ward kimball, willy ley, dr. heinz haber, dr. wernher von braun",united states,2020-06-26,1955,tv-pg,49 min,49,min,"from the tv series disneyland, a look at the history of space travel. see details for advisory."
